TotalAmount,BikePurchase,CustomerID,PersonType,BirthDate,Age,MaritalStatus,Gender,TotalChildren,HomeOwnerFlag,NumberCarsOwned,CountryRegionCode_Num,YearlyIncome_Num,Education_Num,Occupation_Num
8139.29,1,11003,IN,1968,52,S,F,0,0,1,0,2,4,3
2994.0882,1,14501,IN,1938,82,M,M,4,1,2,5,3,3,4
4118.26,1,21768,IN,1946,74,S,M,5,1,3,1,2,4,4
4631.11,1,25863,IN,1946,74,S,F,5,1,3,5,1,1,3
3399.99,1,28389,IN,1964,56,S,F,3,0,0,3,0,1,0
8121.33,1,11005,IN,1965,55,S,M,0,1,1,0,2,4,3
8133.04,1,11011,IN,1963,57,M,M,4,1,4,0,2,4,3
5938.25,1,16624,IN,1972,48,S,M,0,0,3,0,3,4,3
6051.31,1,27645,IN,1961,59,M,M,1,1,4,5,4,1,3
5873.26,1,16351,IN,1954,66,S,F,2,0,2,0,3,2,1
4698.76,1,16517,IN,1976,44,M,F,1,1,0,0,0,1,0
3150.3982,1,20042,IN,1974,46,M,M,1,1,0,4,1,4,1
5998.61,1,27616,IN,1965,55,S,F,3,1,4,5,4,4,4
5971.33,1,27621,IN,1964,56,S,M,0,0,4,5,4,3,4
5918.24,1,13513,IN,1941,79,M,F,1,1,0,2,1,4,2
5997.33,1,27606,IN,1957,63,S,F,2,0,0,5,2,2,3
8355.27,1,13591,IN,1953,67,M,F,0,1,3,4,4,4,4
4118.26,1,16483,IN,1950,70,M,M,2,1,2,0,1,4,4
4752.75,1,16529,IN,1977,43,M,M,0,1,0,0,0,4,2
1868.5582,1,25249,IN,1957,63,S,F,1,0,1,0,2,2,1
3578.27,1,27601,IN,1953,67,S,F,3,0,3,5,2,0,1
7265.56,1,13264,IN,1956,64,M,F,3,1,4,2,4,1,3
8306.3,1,13590,IN,1953,67,M,M,0,0,3,4,4,4,4
3578.27,1,27612,IN,1956,64,M,M,2,1,2,5,2,1,3
6006.56,1,27668,IN,1953,67,S,M,3,1,2,5,2,3,4
8374.79,1,13581,IN,1946,74,M,M,4,1,4,4,4,2,3
1503.5782,1,14520,IN,1978,42,S,F,0,0,1,5,1,2,1
4727.74,1,16520,IN,1976,44,M,F,1,1,0,0,0,1,0
8886.53,1,13258,IN,1957,63,M,F,2,1,2,2,4,2,3
1538.5782,1,14560,IN,1970,50,M,M,1,1,1,5,1,4,1
5897.53,1,16607,IN,1975,45,M,M,0,1,3,0,2,4,3
6576.8,1,11025,IN,1945,75,M,M,2,1,2,0,0,0,2
7542.77,1,11238,IN,1958,62,S,F,2,0,4,4,4,4,4
5933.26,1,16629,IN,1972,48,S,F,0,1,4,0,4,1,4
3399.99,1,25861,IN,1945,75,M,M,5,1,4,5,1,0,1
3578.27,1,27577,IN,1958,62,S,M,1,0,1,5,2,4,3
3578.27,1,27666,IN,1954,66,M,F,3,1,2,5,2,0,1
8114.04,1,11002,IN,1965,55,M,M,3,1,1,0,2,4,3
4698.76,1,16522,IN,1979,41,M,F,1,1,0,0,0,1,0
3578.27,1,27604,IN,1957,63,M,M,2,1,2,5,2,1,3
5922.23,1,11606,IN,1975,45,S,F,0,0,2,3,0,0,0
7200.58,1,13261,IN,1957,63,M,F,3,0,2,2,4,2,3
5948.23,1,13563,IN,1969,51,M,M,0,0,0,4,1,3,1
4752.75,1,16527,IN,1978,42,S,M,0,1,0,0,0,4,2
8211.0,1,11007,IN,1964,56,M,M,3,1,2,0,2,4,3
8330.79,1,13576,IN,1944,76,S,F,3,0,3,4,4,4,4
5900.55,1,16631,IN,1971,49,S,F,0,1,4,0,3,4,3
